WORD,AREA_PRIMARY,SUBAREA_PRIMARY,CONCEPT_TYPE,DESCRIPTION_GENERAL,DESCRIPTION_SOCIAL_SCIENCES,DESCRIPTION_DATA_SCIENCE,CROSS_AREA_RELATION,DATA_OPERATIONALIZATION,EXAMPLES,RELATED_TERMS,REFERENCES_SOURCE
Discurso,Ciências Sociais,Sociologia / Análise do Discurso,Teórico,"Conjunto de práticas linguísticas e simbólicas que produzem e organizam sentidos no espaço social, mediando a construção de realidades e identidades.","Compreendido como prática social situada, o discurso expressa relações de poder, ideologia e hegemonia, sendo analisado em contextos institucionais, políticos e culturais.","Tratado como objeto textual passível de análise computacional via PLN, incluindo classificação, modelagem de tópicos, análise de sentimentos e embeddings semânticos.","A Ciência de Dados operacionaliza o discurso em representações computáveis, enquanto as Ciências Sociais fornecem arcabouço teórico para interpretação crítica dos significados e contextos.","Tokenização; frequência de termos; TF-IDF; modelagem de tópicos (LDA); embeddings; análise de sentimento; redes semânticas.","Análise de discurso político em redes sociais; identificação de narrativas dominantes em notícias.","Narrativa; Retórica; Ideologia; Linguagem; Poder","Foucault; Fairclough; NLP literature"
Morosidade,Ciências Sociais,Sociologia do Direito,Teórico,"Lentidão excessiva e sistemática em processos institucionais, especialmente no sistema de justiça, que compromete sua efetividade.","Interpretada como falha estrutural e organizacional, relacionada a desigualdades, burocracia, falta de recursos e seletividade institucional.","Modelada por variáveis temporais e indicadores de atraso, permitindo análise quantitativa de desempenho institucional e identificação de gargalos.","Permite testar empiricamente hipóteses sociológicas sobre desigualdade, acesso à justiça e eficiência institucional por meio de dados observacionais.","Tempo médio de tramitação; tempo até sentença; backlog; taxa de congestionamento; séries temporais.","Análise da duração de processos judiciais; comparação entre tribunais.","Eficiência institucional; Impunidade; Burocracia","CNJ; Sociologia jurídica"
Métricas de erro,Ciência de Dados,Avaliação de Modelos,Estatístico,"Medidas que quantificam a discrepância entre valores observados e valores preditos por modelos estatísticos ou de machine learning.","Utilizadas para avaliar a adequação de modelos aplicados a fenômenos sociais, como previsão de criminalidade ou desigualdade.","Base para comparação de desempenho entre modelos, seleção de algoritmos e validação de resultados preditivos.","Garantem rigor quantitativo em análises sociais, permitindo avaliar se modelos capturam adequadamente padrões reais.","MAE; RMSE; MAPE; R²; validação cruzada.","Previsão de taxas de criminalidade; avaliação de modelos de risco social.","Validação; Overfitting; Bias","Hastie et al.; James et al."
Modelo de sobrevivência,Estatística,Análise de Sobrevivência,Estatístico,"Modelos que estimam o tempo até a ocorrência de um evento de interesse, considerando censura e risco ao longo do tempo.","Aplicados a eventos sociais como reincidência criminal, tempo até julgamento ou evasão escolar.","Implementados via métodos como Kaplan-Meier e modelo de riscos proporcionais de Cox, permitindo análise temporal robusta.","Permitem investigar dinâmicas temporais de fenômenos sociais e testar hipóteses sobre duração e risco em contextos institucionais.","Tempo até evento; censura; função de sobrevivência; hazard ratio.","Tempo até sentença judicial; tempo até reincidência criminal.","Hazard; Censura; Evento","Kleinbaum; Survival analysis literature"
LLM,Ciência da Computação,Processamento de Linguagem Natural,Computacional,"Modelos de linguagem de grande escala baseados em redes neurais profundas treinados em grandes corpora textuais.","Utilizados como ferramenta para análise e geração de textos sociais, permitindo explorar grandes volumes de dados discursivos.","Aplicados em tarefas como geração de texto, classificação, sumarização, extração de informação e geração de embeddings.","Automatizam análises qualitativas em larga escala, aproximando métodos computacionais de abordagens interpretativas das Ciências Sociais.","Tokens; embeddings; prompts; fine-tuning; inferência.","Detecção de discurso de ódio; análise de opinião pública; chatbots sociais.","Transformers; PLN; Deep Learning","Vaswani et al.; OpenAI; Brown et al."
Embeddings,Ciência da Computação,Representação Vetorial,Computacional,"Representações numéricas densas de palavras, frases ou documentos em espaços vetoriais contínuos.","Permitem capturar similaridades semânticas entre conceitos sociais, facilitando análises comparativas.","Base para tarefas como clustering, busca semântica, recomendação e classificação de texto.","Traduzem significados sociais complexos em estruturas matemáticas manipuláveis, conectando semântica e estatística.","Vetores de alta dimensão; similaridade (cosseno); redução de dimensionalidade.","Agrupamento de narrativas criminais; busca semântica em documentos jurídicos.","Espaço vetorial; Similaridade; NLP","Mikolov et al.; Devlin et al."
Boletim de Ocorrência,Direito,Direito Penal,Jurídico-administrativo,"Registro formal de um fato potencialmente criminoso realizado por autoridades policiais.","Considerado fonte primária para estudos sobre criminalidade, refletindo práticas institucionais e padrões de registro.","Representa unidade básica de dados em bases criminais, estruturando eventos em atributos analisáveis.","Transforma eventos sociais em registros formais que podem ser agregados, analisados e modelados quantitativamente.","Data; local; tipo penal; envolvido; descrição textual.","Construção de estatísticas policiais; análise espacial de crimes.","Inquérito; Crime; Registro policial","SSP; legislação penal brasileira"
Inquérito,Direito,Processo Penal,Jurídico-administrativo,"Procedimento formal de investigação criminal conduzido pela polícia para apurar autoria e materialidade.","Analisado como etapa de filtragem do sistema penal, refletindo seletividade e priorização institucional.","Representado como variável de progressão processual em bases de dados judiciais e policiais.","Permite estudar fluxos do sistema de justiça e identificar padrões de decisão e desigualdade institucional.","Status processual; duração; taxa de instauração; desfecho.","Taxa de inquéritos instaurados por tipo de crime.","BO; Denúncia; Processo","Código de Processo Penal"
Dataset,Ciência de Dados,Gestão de Dados,Dados / Informacional,"Conjunto estruturado de dados organizado em formato tabular ou similar, contendo observações e variáveis.","Constitui base empírica para análise de fenômenos sociais, permitindo testar teorias e hipóteses.","Serve como entrada para modelos estatísticos e algoritmos de machine learning.","Conecta teoria social a evidência empírica por meio da estruturação de dados observáveis.","Tabelas; atributos; registros; normalização; limpeza de dados.","Dataset de ocorrências criminais; dados censitários.","Base de dados; Amostra; Variável","Data management literature"
Metadado,Ciência da Informação,Curadoria de Dados,Dados / Informacional,"Dados que descrevem outros dados, fornecendo contexto, significado e estrutura.","Essenciais para interpretação adequada de dados sociais, garantindo compreensão do contexto de coleta e uso.","Fundamentais para reprodutibilidade, documentação e interoperabilidade em pipelines de dados.","Evita erros de interpretação ao explicitar definições, unidades e limitações dos dados.","Dicionário de dados; schema; descrição de variáveis.","Documentação de bases criminais ou censitárias.","Documentação; Ontologia; Schema","FAIR principles"
Raspagem,Ciência de Dados,Coleta de Dados,Metodológico,"Processo automatizado de extração de dados de páginas web ou sistemas online.","Permite acesso a dados sociais não estruturados, como discursos em redes sociais e fóruns.","Implementado via scripts, crawlers e APIs, com técnicas de parsing e armazenamento.","Expande as fronteiras empíricas da pesquisa social ao incorporar dados digitais massivos.","HTML parsing; APIs; logs; scraping frameworks.","Coleta de tweets políticos; extração de notícias.","Crawling; ETL; Data collection","Mitchell; Web scraping literature"
Hipótese,Metodologia Científica,Epistemologia,Metodológico,"Proposição testável que estabelece uma relação esperada entre variáveis ou fenômenos.","Orienta explicações sociológicas e formulação de teorias sobre o funcionamento da sociedade.","Testada por métodos estatísticos e experimentais, utilizando dados observacionais ou experimentais.","Conecta teoria e evidência empírica, permitindo validação ou refutação de modelos explicativos.","Variáveis independentes/dependentes; testes estatísticos; significância.","Hipótese sobre relação entre desigualdade e crime.","Teoria; Teste; Modelo","Popper; metodologia científica"
